calibration_specification,common_support_verified,complete_inner_evidence,coverage,eligible,empirical_best,family,family_cluster_se,fit_cache_keys,fit_eligible,log_a_shrinkage,mean_log_loss,n_cells,n_families_scored,n_models,n_models_scored,one_se_cutoff,outer_fold,panel_id,pooled_log_loss,repeat,ridge,selected,selection_used_outer_outcomes,simplicity_rank,spec_id,survivor_selection_used,within_one_se
"{'cache_key': 'calibration-spec-v1-a143fc732de9abd69f65262642bddde579c9d23003f2622104671f075e18066a', 'difficulty': {'mode': 'estimated', 'parameterization': 'unpenalized-offset-b'}, 'discrimination': {'constraint': 'strictly-positive', 'mode': 'estimated', 'parameterization': 'a=exp(log_a)'}, 'estimation': 'bock-aitkin-marginal-maximum-likelihood-em', 'family': 'log-shrinkage-2pl', 'regularization': {'center': 'log(a)=0 (a=1)', 'kind': 'zero-mean-gaussian-prior-on-log-a', 'log_a_prior_sd': 0.25, 'log_a_shrinkage': 16.0, 'penalty': '0.5 * log_a_shrinkage * sum(log(a)^2)', 'ridge': None}, 'schema_version': 1}",True,True,1.0,True,True,log-shrinkage-2pl,0.029958850169161735,"['1652d3f51ffd2533a67ff7ca8bed8021cae9ae84e50ae08e9ae8ed8c8e3e40e4', '8e406d4980801a90ae53f14fbf8dbc346366061fd8bae72a1c0bab8964c6621a', 'ac68fc7725fdefb88f17dec311112b38783c37ab4ad86e0fd4e5cc9adb361693', 'ca6bb90b7d2476d4f7868beca66422083a554c1b06f1f82c0de2d17a9ab3e5e7']",True,16.0,0.3681063368188788,16705,18,41,41,0.3980651869880405,0,repeat_00_outer_00,0.3679602482825753,0,,True,False,0,log_shrinkage_2pl_lambda16,False,True
"{'cache_key': 'calibration-spec-v1-6b09265e28950832a6c55d104f53718089faf55aa2b79cd517247efb340c5c65', 'difficulty': {'mode': 'estimated', 'parameterization': 'unpenalized-offset-b'}, 'discrimination': {'constraint': 'strictly-positive', 'mode': 'estimated', 'parameterization': 'a=exp(log_a)'}, 'estimation': 'bock-aitkin-marginal-maximum-likelihood-em', 'family': 'log-shrinkage-2pl', 'regularization': {'center': 'log(a)=0 (a=1)', 'kind': 'zero-mean-gaussian-prior-on-log-a', 'log_a_prior_sd': 0.5, 'log_a_shrinkage': 4.0, 'penalty': '0.5 * log_a_shrinkage * sum(log(a)^2)', 'ridge': None}, 'schema_version': 1}",True,True,1.0,True,False,log-shrinkage-2pl,0.03070490279248849,"['3e59c44c281f066fb700384af628b81d31f8c8c7be5d3dd272b5796a5b88037f', '498b3f11159be24023c1594fa2eb4782cd05f584f142c8839a8f134678e642de', 'be5987ef85484556153a0085a07c392ba2e797f3f20bab054e202f4f4bb5f6b2', 'c3b5111386c5cd2e32e03b2460bc331561f15268c243e606a95e3a73419aaf19']",True,4.0,0.3722113418776451,16705,18,41,41,0.3980651869880405,0,repeat_00_outer_00,0.37205953243825507,0,,False,False,1,log_shrinkage_2pl_lambda4,False,True
"{'cache_key': 'calibration-spec-v1-a143fc732de9abd69f65262642bddde579c9d23003f2622104671f075e18066a', 'difficulty': {'mode': 'estimated', 'parameterization': 'unpenalized-offset-b'}, 'discrimination': {'constraint': 'strictly-positive', 'mode': 'estimated', 'parameterization': 'a=exp(log_a)'}, 'estimation': 'bock-aitkin-marginal-maximum-likelihood-em', 'family': 'log-shrinkage-2pl', 'regularization': {'center': 'log(a)=0 (a=1)', 'kind': 'zero-mean-gaussian-prior-on-log-a', 'log_a_prior_sd': 0.25, 'log_a_shrinkage': 16.0, 'penalty': '0.5 * log_a_shrinkage * sum(log(a)^2)', 'ridge': None}, 'schema_version': 1}",True,True,1.0,True,True,log-shrinkage-2pl,0.025957522796614903,"['3563f59a72000b0ebfe116afb30454aad5e821ea3fd5fde991a3b5e43e7e7ac5', '6c14968cf85d29bf5e1ec36ae094979dfcfb24ca9432164a58ab8554b78818da', 'ae74b2b51ae784e8c40581e3b1b79d0ce75212c14605f27287e173c40970f7ae', 'bb033f84eec01a17d055377c69c007de25c10d2776495b674514b19b287459ac']",True,16.0,0.39659486215533835,17230,17,42,42,0.42255238495195324,1,repeat_00_outer_01,0.39646876740145576,0,,True,False,0,log_shrinkage_2pl_lambda16,False,True
"{'cache_key': 'calibration-spec-v1-6b09265e28950832a6c55d104f53718089faf55aa2b79cd517247efb340c5c65', 'difficulty': {'mode': 'estimated', 'parameterization': 'unpenalized-offset-b'}, 'discrimination': {'constraint': 'strictly-positive', 'mode': 'estimated', 'parameterization': 'a=exp(log_a)'}, 'estimation': 'bock-aitkin-marginal-maximum-likelihood-em', 'family': 'log-shrinkage-2pl', 'regularization': {'center': 'log(a)=0 (a=1)', 'kind': 'zero-mean-gaussian-prior-on-log-a', 'log_a_prior_sd': 0.5, 'log_a_shrinkage': 4.0, 'penalty': '0.5 * log_a_shrinkage * sum(log(a)^2)', 'ridge': None}, 'schema_version': 1}",True,True,1.0,True,False,log-shrinkage-2pl,0.026089219247422125,"['d4af8f8bd5163905edad11c1fcc7ceed52025db011477b1074a4be1996f08457', 'd76a1aa60d5a292b3008cb2d4e5062d19eb952d798f2fc59dd7cedee7711c9c5', 'db7f859fdc2dc46906036a39f2dec90806a3b5a6a2dc186f1baf466f31e980bf', 'e14aca9e9362c87243c4dab32a703e6408d3a0152bb8c336c13fb517dbd1bdc6']",True,4.0,0.39955711162710356,17230,17,42,42,0.42255238495195324,1,repeat_00_outer_01,0.39942332080812065,0,,False,False,1,log_shrinkage_2pl_lambda4,False,True
"{'cache_key': 'calibration-spec-v1-a143fc732de9abd69f65262642bddde579c9d23003f2622104671f075e18066a', 'difficulty': {'mode': 'estimated', 'parameterization': 'unpenalized-offset-b'}, 'discrimination': {'constraint': 'strictly-positive', 'mode': 'estimated', 'parameterization': 'a=exp(log_a)'}, 'estimation': 'bock-aitkin-marginal-maximum-likelihood-em', 'family': 'log-shrinkage-2pl', 'regularization': {'center': 'log(a)=0 (a=1)', 'kind': 'zero-mean-gaussian-prior-on-log-a', 'log_a_prior_sd': 0.25, 'log_a_shrinkage': 16.0, 'penalty': '0.5 * log_a_shrinkage * sum(log(a)^2)', 'ridge': None}, 'schema_version': 1}",True,True,1.0,True,True,log-shrinkage-2pl,0.02416590724444311,"['359c0d6f1240db515d6328c724182610a0c2b54d4adf15e17b27e18c90c6d518', '5e3b936915fb3d61aa4b8cb81dfb827df5feeab1dacccc070f41cf04c64204ff', '9b129ee4509f139a6cc0f12b86e98496b166afced8fc3b9409ab8799afe97686', 'cbced510a83a9c6319d5e59d4f710693b21821d073f8f0663bb6361c6abfbc04']",True,16.0,0.4020879857958203,17122,18,42,42,0.4262538930402634,2,repeat_00_outer_02,0.40196387248692544,0,,True,False,0,log_shrinkage_2pl_lambda16,False,True
"{'cache_key': 'calibration-spec-v1-6b09265e28950832a6c55d104f53718089faf55aa2b79cd517247efb340c5c65', 'difficulty': {'mode': 'estimated', 'parameterization': 'unpenalized-offset-b'}, 'discrimination': {'constraint': 'strictly-positive', 'mode': 'estimated', 'parameterization': 'a=exp(log_a)'}, 'estimation': 'bock-aitkin-marginal-maximum-likelihood-em', 'family': 'log-shrinkage-2pl', 'regularization': {'center': 'log(a)=0 (a=1)', 'kind': 'zero-mean-gaussian-prior-on-log-a', 'log_a_prior_sd': 0.5, 'log_a_shrinkage': 4.0, 'penalty': '0.5 * log_a_shrinkage * sum(log(a)^2)', 'ridge': None}, 'schema_version': 1}",True,True,1.0,True,False,log-shrinkage-2pl,0.02463403843516251,"['566d72b0bff6a9a3b69716e801e6d2bc717e3ccc1130135023d02eb6fc545f00', '71077f117eff6527e3e32bf1960b0f58dc6beffe65c36968ba5085369e855883', '8ffaf3e5b98a3222625800b2f7438f6d00b2a176aee091b3830f067928f1e30f', 'b7683b4274c1f71e0ece5484986db10b2fab34bc27ed8848e8a140e4af5ef085']",True,4.0,0.4053174234319056,17122,18,42,42,0.4262538930402634,2,repeat_00_outer_02,0.4051939242499165,0,,False,False,1,log_shrinkage_2pl_lambda4,False,True
"{'cache_key': 'calibration-spec-v1-a143fc732de9abd69f65262642bddde579c9d23003f2622104671f075e18066a', 'difficulty': {'mode': 'estimated', 'parameterization': 'unpenalized-offset-b'}, 'discrimination': {'constraint': 'strictly-positive', 'mode': 'estimated', 'parameterization': 'a=exp(log_a)'}, 'estimation': 'bock-aitkin-marginal-maximum-likelihood-em', 'family': 'log-shrinkage-2pl', 'regularization': {'center': 'log(a)=0 (a=1)', 'kind': 'zero-mean-gaussian-prior-on-log-a', 'log_a_prior_sd': 0.25, 'log_a_shrinkage': 16.0, 'penalty': '0.5 * log_a_shrinkage * sum(log(a)^2)', 'ridge': None}, 'schema_version': 1}",True,True,1.0,True,True,log-shrinkage-2pl,0.029580320020475462,"['176163ff7beb89c7fbca4fd91909891e0b370df66b09373d09965d795ab2f2da', '43ab96bc3fd81c528d1b5016e0136547a032d6625fa60015fa3b4664a2ddd6eb', 'a018c35f17f4e85d75a3c16dfd392ff024534504547c55a2049a492958f391d8', 'd4e3bf2813eaddd324c35dc64a47d9178f075a9b92333c617308e7959230b29c']",True,16.0,0.38818163501438185,17233,18,42,42,0.4177619550348573,3,repeat_00_outer_03,0.38801444829941517,0,,True,False,0,log_shrinkage_2pl_lambda16,False,True
"{'cache_key': 'calibration-spec-v1-6b09265e28950832a6c55d104f53718089faf55aa2b79cd517247efb340c5c65', 'difficulty': {'mode': 'estimated', 'parameterization': 'unpenalized-offset-b'}, 'discrimination': {'constraint': 'strictly-positive', 'mode': 'estimated', 'parameterization': 'a=exp(log_a)'}, 'estimation': 'bock-aitkin-marginal-maximum-likelihood-em', 'family': 'log-shrinkage-2pl', 'regularization': {'center': 'log(a)=0 (a=1)', 'kind': 'zero-mean-gaussian-prior-on-log-a', 'log_a_prior_sd': 0.5, 'log_a_shrinkage': 4.0, 'penalty': '0.5 * log_a_shrinkage * sum(log(a)^2)', 'ridge': None}, 'schema_version': 1}",True,True,1.0,True,False,log-shrinkage-2pl,0.029687678217757817,"['5f2c7b1deb2b110dd7ca9f5530f03a31c05718fc5b4f75a0959e2f1aceb4d887', '61d2418afdf580167413b390ce076c79e84633dd0e59b8aa506fe706edd1e0f7', '7811ae1fc230d12f815d344af67819664aed76e3a885f64c6f380df4c3f39d7e', '78dee9163ac8016df623f33dd502758e73e944b0e052e3b59cad2b9057f18cd8']",True,4.0,0.3924342220607973,17233,18,42,42,0.4177619550348573,3,repeat_00_outer_03,0.392268020036925,0,,False,False,1,log_shrinkage_2pl_lambda4,False,True
"{'cache_key': 'calibration-spec-v1-a143fc732de9abd69f65262642bddde579c9d23003f2622104671f075e18066a', 'difficulty': {'mode': 'estimated', 'parameterization': 'unpenalized-offset-b'}, 'discrimination': {'constraint': 'strictly-positive', 'mode': 'estimated', 'parameterization': 'a=exp(log_a)'}, 'estimation': 'bock-aitkin-marginal-maximum-likelihood-em', 'family': 'log-shrinkage-2pl', 'regularization': {'center': 'log(a)=0 (a=1)', 'kind': 'zero-mean-gaussian-prior-on-log-a', 'log_a_prior_sd': 0.25, 'log_a_shrinkage': 16.0, 'penalty': '0.5 * log_a_shrinkage * sum(log(a)^2)', 'ridge': None}, 'schema_version': 1}",True,True,1.0,True,True,log-shrinkage-2pl,0.029784967116824705,"['5041285e897d2495e5dd5b3b335879ce49c5f59dc917b4d9deaeb88a0c247183', 'af3244d890254353ab6441ad8d2baa12c33d963512b2f1b6093fbe9c5c0d110a', 'ee2162de5f649a1c42e809c4b367bb520a4167a9f06f75603280a5096f03c535', 'fdad37f1a1b9c43a93289358b303f91a88a1219c818772e57155078361a7d998']",True,16.0,0.3908158536535602,16669,17,41,41,0.4206008207703849,4,repeat_00_outer_04,0.39075620191218385,0,,True,False,0,log_shrinkage_2pl_lambda16,False,True
"{'cache_key': 'calibration-spec-v1-6b09265e28950832a6c55d104f53718089faf55aa2b79cd517247efb340c5c65', 'difficulty': {'mode': 'estimated', 'parameterization': 'unpenalized-offset-b'}, 'discrimination': {'constraint': 'strictly-positive', 'mode': 'estimated', 'parameterization': 'a=exp(log_a)'}, 'estimation': 'bock-aitkin-marginal-maximum-likelihood-em', 'family': 'log-shrinkage-2pl', 'regularization': {'center': 'log(a)=0 (a=1)', 'kind': 'zero-mean-gaussian-prior-on-log-a', 'log_a_prior_sd': 0.5, 'log_a_shrinkage': 4.0, 'penalty': '0.5 * log_a_shrinkage * sum(log(a)^2)', 'ridge': None}, 'schema_version': 1}",True,True,1.0,True,False,log-shrinkage-2pl,0.03053168857712029,"['1d707486c5c500304a6cdd0a0d4a849733dc2b37a8b44b977c1d032a0c1c82e6', '5671ea78facc95a15d33a5438e59bdcbe93803f9a14287089e306f8f525d34c8', '73c5269994095728d21549a8d5704eb5a7ea02fd4c7366e51826e279b06aed7b', '8fd075bae3b2d51aaf4191c31304ff4ec3883c87d003a1ed1d1f69d734f34f8a']",True,4.0,0.39520226801947644,16669,17,41,41,0.4206008207703849,4,repeat_00_outer_04,0.3951308018161733,0,,False,False,1,log_shrinkage_2pl_lambda4,False,True
