atlas_idx,item_id,subtask,question_id
1,boolean_expressions|0,boolean_expressions,0
2,boolean_expressions|1,boolean_expressions,1
3,boolean_expressions|10,boolean_expressions,10
4,boolean_expressions|100,boolean_expressions,100
5,boolean_expressions|101,boolean_expressions,101
6,boolean_expressions|102,boolean_expressions,102
7,boolean_expressions|103,boolean_expressions,103
8,boolean_expressions|104,boolean_expressions,104
9,boolean_expressions|105,boolean_expressions,105
10,boolean_expressions|106,boolean_expressions,106
11,boolean_expressions|107,boolean_expressions,107
12,boolean_expressions|108,boolean_expressions,108
13,boolean_expressions|109,boolean_expressions,109
14,boolean_expressions|11,boolean_expressions,11
15,boolean_expressions|110,boolean_expressions,110
16,boolean_expressions|111,boolean_expressions,111
17,boolean_expressions|112,boolean_expressions,112
18,boolean_expressions|113,boolean_expressions,113
19,boolean_expressions|114,boolean_expressions,114
20,boolean_expressions|115,boolean_expressions,115
21,boolean_expressions|116,boolean_expressions,116
22,boolean_expressions|117,boolean_expressions,117
23,boolean_expressions|118,boolean_expressions,118
24,boolean_expressions|119,boolean_expressions,119
25,boolean_expressions|12,boolean_expressions,12
26,boolean_expressions|120,boolean_expressions,120
27,boolean_expressions|121,boolean_expressions,121
28,boolean_expressions|122,boolean_expressions,122
29,boolean_expressions|123,boolean_expressions,123
30,boolean_expressions|124,boolean_expressions,124
31,boolean_expressions|125,boolean_expressions,125
32,boolean_expressions|126,boolean_expressions,126
33,boolean_expressions|127,boolean_expressions,127
34,boolean_expressions|128,boolean_expressions,128
35,boolean_expressions|129,boolean_expressions,129
36,boolean_expressions|13,boolean_expressions,13
37,boolean_expressions|130,boolean_expressions,130
38,boolean_expressions|131,boolean_expressions,131
39,boolean_expressions|132,boolean_expressions,132
40,boolean_expressions|133,boolean_expressions,133
41,boolean_expressions|134,boolean_expressions,134
42,boolean_expressions|135,boolean_expressions,135
43,boolean_expressions|136,boolean_expressions,136
44,boolean_expressions|137,boolean_expressions,137
45,boolean_expressions|138,boolean_expressions,138
46,boolean_expressions|139,boolean_expressions,139
47,boolean_expressions|14,boolean_expressions,14
48,boolean_expressions|140,boolean_expressions,140
49,boolean_expressions|141,boolean_expressions,141
50,boolean_expressions|142,boolean_expressions,142
51,boolean_expressions|143,boolean_expressions,143
52,boolean_expressions|144,boolean_expressions,144
53,boolean_expressions|145,boolean_expressions,145
54,boolean_expressions|146,boolean_expressions,146
55,boolean_expressions|147,boolean_expressions,147
56,boolean_expressions|148,boolean_expressions,148
57,boolean_expressions|149,boolean_expressions,149
58,boolean_expressions|15,boolean_expressions,15
59,boolean_expressions|150,boolean_expressions,150
60,boolean_expressions|151,boolean_expressions,151
61,boolean_expressions|152,boolean_expressions,152
62,boolean_expressions|153,boolean_expressions,153
63,boolean_expressions|154,boolean_expressions,154
64,boolean_expressions|155,boolean_expressions,155
65,boolean_expressions|156,boolean_expressions,156
66,boolean_expressions|157,boolean_expressions,157
67,boolean_expressions|158,boolean_expressions,158
68,boolean_expressions|159,boolean_expressions,159
69,boolean_expressions|16,boolean_expressions,16
70,boolean_expressions|160,boolean_expressions,160
71,boolean_expressions|161,boolean_expressions,161
72,boolean_expressions|162,boolean_expressions,162
73,boolean_expressions|163,boolean_expressions,163
74,boolean_expressions|164,boolean_expressions,164
75,boolean_expressions|165,boolean_expressions,165
76,boolean_expressions|166,boolean_expressions,166
77,boolean_expressions|167,boolean_expressions,167
78,boolean_expressions|168,boolean_expressions,168
79,boolean_expressions|169,boolean_expressions,169
80,boolean_expressions|17,boolean_expressions,17
81,boolean_expressions|170,boolean_expressions,170
82,boolean_expressions|171,boolean_expressions,171
83,boolean_expressions|172,boolean_expressions,172
84,boolean_expressions|173,boolean_expressions,173
85,boolean_expressions|174,boolean_expressions,174
86,boolean_expressions|175,boolean_expressions,175
87,boolean_expressions|176,boolean_expressions,176
88,boolean_expressions|177,boolean_expressions,177
89,boolean_expressions|178,boolean_expressions,178
90,boolean_expressions|179,boolean_expressions,179
91,boolean_expressions|18,boolean_expressions,18
92,boolean_expressions|180,boolean_expressions,180
93,boolean_expressions|181,boolean_expressions,181
94,boolean_expressions|182,boolean_expressions,182
95,boolean_expressions|183,boolean_expressions,183
96,boolean_expressions|184,boolean_expressions,184
97,boolean_expressions|185,boolean_expressions,185
98,boolean_expressions|186,boolean_expressions,186
99,boolean_expressions|187,boolean_expressions,187
100,boolean_expressions|188,boolean_expressions,188
101,boolean_expressions|189,boolean_expressions,189
102,boolean_expressions|19,boolean_expressions,19
103,boolean_expressions|190,boolean_expressions,190
104,boolean_expressions|191,boolean_expressions,191
105,boolean_expressions|192,boolean_expressions,192
106,boolean_expressions|193,boolean_expressions,193
107,boolean_expressions|194,boolean_expressions,194
108,boolean_expressions|195,boolean_expressions,195
109,boolean_expressions|196,boolean_expressions,196
110,boolean_expressions|197,boolean_expressions,197
111,boolean_expressions|198,boolean_expressions,198
112,boolean_expressions|199,boolean_expressions,199
113,boolean_expressions|2,boolean_expressions,2
114,boolean_expressions|20,boolean_expressions,20
115,boolean_expressions|200,boolean_expressions,200
116,boolean_expressions|201,boolean_expressions,201
117,boolean_expressions|202,boolean_expressions,202
118,boolean_expressions|203,boolean_expressions,203
119,boolean_expressions|204,boolean_expressions,204
120,boolean_expressions|205,boolean_expressions,205
121,boolean_expressions|206,boolean_expressions,206
122,boolean_expressions|207,boolean_expressions,207
123,boolean_expressions|208,boolean_expressions,208
124,boolean_expressions|209,boolean_expressions,209
125,boolean_expressions|21,boolean_expressions,21
126,boolean_expressions|210,boolean_expressions,210
127,boolean_expressions|211,boolean_expressions,211
128,boolean_expressions|212,boolean_expressions,212
129,boolean_expressions|213,boolean_expressions,213
130,boolean_expressions|214,boolean_expressions,214
131,boolean_expressions|215,boolean_expressions,215
132,boolean_expressions|216,boolean_expressions,216
133,boolean_expressions|217,boolean_expressions,217
134,boolean_expressions|218,boolean_expressions,218
135,boolean_expressions|219,boolean_expressions,219
136,boolean_expressions|22,boolean_expressions,22
137,boolean_expressions|220,boolean_expressions,220
138,boolean_expressions|221,boolean_expressions,221
139,boolean_expressions|222,boolean_expressions,222
140,boolean_expressions|223,boolean_expressions,223
141,boolean_expressions|224,boolean_expressions,224
142,boolean_expressions|225,boolean_expressions,225
143,boolean_expressions|226,boolean_expressions,226
144,boolean_expressions|227,boolean_expressions,227
145,boolean_expressions|228,boolean_expressions,228
146,boolean_expressions|229,boolean_expressions,229
147,boolean_expressions|23,boolean_expressions,23
148,boolean_expressions|230,boolean_expressions,230
149,boolean_expressions|231,boolean_expressions,231
150,boolean_expressions|232,boolean_expressions,232
151,boolean_expressions|233,boolean_expressions,233
152,boolean_expressions|234,boolean_expressions,234
153,boolean_expressions|235,boolean_expressions,235
154,boolean_expressions|236,boolean_expressions,236
